run_id,batch_id,cell,fixture,generator,supports,tool,run_index,warmup,threads,expected_generator,validated_generator,config_path,exe_path,module_dir,model_path,output_path,stderr_path,wall_seconds,cpu_seconds,cpu_wall_ratio,peak_workingset_bytes,gcode_bytes,sha256_of_gcode,type_counts_json,completion_status,fatal_error_count,non_fatal_error_count,degraded,exit_code,timestamp_utc
base-classic-on-pnp-accelerated-w1,s2-base,classic-on,base,classic,on,pnp-accelerated,1,1,12,classic,classic,D:\slicerProject\pinch_n_print_cli_2\docs\specs\perf-vs-orca\evidence\matched-pair\configs\pnp-classic-supports-on.json,D:\slicerProject\pinch_n_print_cli_2\target\dist-accelerated\developer\pnp_cli.exe,D:\slicerProject\pinch_n_print_cli_2\target\dist-accelerated\developer\modules,D:\slicerProject\pinch_n_print_cli_2\tmp\base.stl,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\gcode\base-classic-on-pnp-accelerated-w1.gcode,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\base-classic-on-pnp-accelerated-w1.stderr.jsonl,560.942,2030.3125,3.6195,6028075008,41186111,64680cd2f36db9f4e656a6de8324aaf7f52d9c5b8e847249dc142c8b8c162867,"{""Support interface"":55,""Support"":280,""Sparse infill"":670,""Bridge"":51,""Bottom surface"":49,""Brim"":1,""Internal solid infill"":3,""Top surface"":58,""Skirt"":1,""Gap infill"":245,""Inner wall"":527,""Outer wall"":495,""Internal Bridge"":6}",ok,0,172181,true,0,2026-09-23T00:29:28.563Z
base-classic-on-orca-m1,s2-base,classic-on,base,classic,on,orca,1,0,12,classic,classic,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\orca-configs\derived-classic-support1.json,C:\Program Files\OrcaSlicer\orca-slicer.exe,,D:\slicerProject\pinch_n_print_cli_2\tmp\base.stl,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\gcode\base-classic-on-orca-m1.gcode,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\base-classic-on-orca-m1.stderr.jsonl,21.968,63.5312,2.892,898719744,37471566,0608895da5dbc7c426924e971ba2225ef68c29ae853967e141242244f5194836,"{""Internal solid infill"":1474,""Support"":642,""Overhang wall"":951,""Sparse infill"":1603,""Bridge"":119,""Brim"":1,""Support interface"":228,""Custom"":2,""Top surface"":104,""Skirt"":1,""Gap infill"":605,""Inner wall"":904,""Outer wall"":1695,""Internal Bridge"":14}",n/a,n/a,n/a,n/a,0,2026-09-23T00:29:51.069Z
base-classic-on-pnp-ordinary-m1,s2-base,classic-on,base,classic,on,pnp-ordinary,1,0,12,classic,classic,D:\slicerProject\pinch_n_print_cli_2\docs\specs\perf-vs-orca\evidence\matched-pair\configs\pnp-classic-supports-on.json,D:\slicerProject\pinch_n_print_cli_2\target\release\pnp_cli.exe,D:\slicerProject\pinch_n_print_cli_2\modules\core-modules,D:\slicerProject\pinch_n_print_cli_2\tmp\base.stl,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\gcode\base-classic-on-pnp-ordinary-m1.gcode,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\base-classic-on-pnp-ordinary-m1.stderr.jsonl,596.8271,2400.2969,4.0218,6030282752,41185890,d089cc325d9b3aaea75d5280f9b1dc72fff3c2ecd8aa04622d94c777e0e05bbc,"{""Support interface"":55,""Support"":280,""Sparse infill"":670,""Bridge"":51,""Bottom surface"":49,""Brim"":1,""Internal solid infill"":3,""Top surface"":58,""Skirt"":1,""Gap infill"":245,""Inner wall"":525,""Outer wall"":495,""Internal Bridge"":6}",ok,0,172181,true,0,2026-09-23T00:39:59.332Z
base-classic-on-pnp-accelerated-m1,s2-base,classic-on,base,classic,on,pnp-accelerated,1,0,12,classic,classic,D:\slicerProject\pinch_n_print_cli_2\docs\specs\perf-vs-orca\evidence\matched-pair\configs\pnp-classic-supports-on.json,D:\slicerProject\pinch_n_print_cli_2\target\dist-accelerated\developer\pnp_cli.exe,D:\slicerProject\pinch_n_print_cli_2\target\dist-accelerated\developer\modules,D:\slicerProject\pinch_n_print_cli_2\tmp\base.stl,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\gcode\base-classic-on-pnp-accelerated-m1.gcode,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\base-classic-on-pnp-accelerated-m1.stderr.jsonl,502.3508,2006.7188,3.9947,6022430720,41185890,d089cc325d9b3aaea75d5280f9b1dc72fff3c2ecd8aa04622d94c777e0e05bbc,"{""Support interface"":55,""Support"":280,""Sparse infill"":670,""Bridge"":51,""Bottom surface"":49,""Brim"":1,""Internal solid infill"":3,""Top surface"":58,""Skirt"":1,""Gap infill"":245,""Inner wall"":525,""Outer wall"":495,""Internal Bridge"":6}",ok,0,172181,true,0,2026-09-23T00:48:31.476Z
base-classic-on-pnp-ordinary-m2,s2-base,classic-on,base,classic,on,pnp-ordinary,2,0,12,classic,classic,D:\slicerProject\pinch_n_print_cli_2\docs\specs\perf-vs-orca\evidence\matched-pair\configs\pnp-classic-supports-on.json,D:\slicerProject\pinch_n_print_cli_2\target\release\pnp_cli.exe,D:\slicerProject\pinch_n_print_cli_2\modules\core-modules,D:\slicerProject\pinch_n_print_cli_2\tmp\base.stl,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\gcode\base-classic-on-pnp-ordinary-m2.gcode,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\base-classic-on-pnp-ordinary-m2.stderr.jsonl,577.9615,2412.1562,4.1736,6025031680,41185789,a622b6e106fef8aa45764b6f305645e86c8ac59a597ef63b04c55bad78575352,"{""Support interface"":55,""Support"":280,""Sparse infill"":670,""Bridge"":51,""Bottom surface"":49,""Brim"":1,""Internal solid infill"":3,""Top surface"":58,""Skirt"":1,""Gap infill"":245,""Inner wall"":525,""Outer wall"":495,""Internal Bridge"":6}",ok,0,172181,true,0,2026-09-23T00:58:19.131Z
base-classic-on-pnp-accelerated-m2,s2-base,classic-on,base,classic,on,pnp-accelerated,2,0,12,classic,classic,D:\slicerProject\pinch_n_print_cli_2\docs\specs\perf-vs-orca\evidence\matched-pair\configs\pnp-classic-supports-on.json,D:\slicerProject\pinch_n_print_cli_2\target\dist-accelerated\developer\pnp_cli.exe,D:\slicerProject\pinch_n_print_cli_2\target\dist-accelerated\developer\modules,D:\slicerProject\pinch_n_print_cli_2\tmp\base.stl,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\gcode\base-classic-on-pnp-accelerated-m2.gcode,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\base-classic-on-pnp-accelerated-m2.stderr.jsonl,532.3824,2018.8281,3.7921,6021824512,41185826,ae8fbac9e971fec6f4bcf138cfd1d8918b0ad79cb80b65b031cba0ecfc41c887,"{""Support interface"":55,""Support"":280,""Sparse infill"":670,""Bridge"":51,""Bottom surface"":49,""Brim"":1,""Internal solid infill"":3,""Top surface"":58,""Skirt"":1,""Gap infill"":245,""Inner wall"":525,""Outer wall"":495,""Internal Bridge"":6}",ok,0,172181,true,0,2026-09-23T01:07:22.337Z
base-classic-on-orca-m2,s2-base,classic-on,base,classic,on,orca,2,0,12,classic,classic,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\orca-configs\derived-classic-support1.json,C:\Program Files\OrcaSlicer\orca-slicer.exe,,D:\slicerProject\pinch_n_print_cli_2\tmp\base.stl,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\gcode\base-classic-on-orca-m2.gcode,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\base-classic-on-orca-m2.stderr.jsonl,25.0805,64.8438,2.5854,1037656064,37471566,3799bd82dfc86a0eec5057b313bd6d223b1e378d3a728f7f615aa1f2de4c3d14,"{""Internal solid infill"":1474,""Support"":642,""Overhang wall"":951,""Sparse infill"":1603,""Bridge"":119,""Brim"":1,""Support interface"":228,""Custom"":2,""Top surface"":104,""Skirt"":1,""Gap infill"":605,""Inner wall"":904,""Outer wall"":1695,""Internal Bridge"":14}",n/a,n/a,n/a,n/a,0,2026-09-23T01:07:48.019Z
base-classic-on-pnp-accelerated-m3,s2-base,classic-on,base,classic,on,pnp-accelerated,3,0,12,classic,classic,D:\slicerProject\pinch_n_print_cli_2\docs\specs\perf-vs-orca\evidence\matched-pair\configs\pnp-classic-supports-on.json,D:\slicerProject\pinch_n_print_cli_2\target\dist-accelerated\developer\pnp_cli.exe,D:\slicerProject\pinch_n_print_cli_2\target\dist-accelerated\developer\modules,D:\slicerProject\pinch_n_print_cli_2\tmp\base.stl,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\gcode\base-classic-on-pnp-accelerated-m3.gcode,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\base-classic-on-pnp-accelerated-m3.stderr.jsonl,521.5731,2022.7969,3.8783,6025568256,41186062,2e08f84d0bfb18fd75e43b086b316bed8c559fcd69aff320a7d629cc80f13122,"{""Support interface"":55,""Support"":280,""Sparse infill"":670,""Bridge"":51,""Bottom surface"":49,""Brim"":1,""Internal solid infill"":3,""Top surface"":58,""Skirt"":1,""Gap infill"":245,""Inner wall"":527,""Outer wall"":495,""Internal Bridge"":6}",ok,0,172181,true,0,2026-09-23T01:16:39.157Z
base-classic-on-orca-m3,s2-base,classic-on,base,classic,on,orca,3,0,12,classic,classic,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\orca-configs\derived-classic-support1.json,C:\Program Files\OrcaSlicer\orca-slicer.exe,,D:\slicerProject\pinch_n_print_cli_2\tmp\base.stl,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\gcode\base-classic-on-orca-m3.gcode,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\base-classic-on-orca-m3.stderr.jsonl,22.0223,63.875,2.9005,1020641280,37409049,5733b5d3b9dc5b1e1116705311f71a6a5b9492bce787e331c81031e052298dbc,"{""Internal solid infill"":1474,""Support"":638,""Overhang wall"":951,""Sparse infill"":1603,""Bridge"":119,""Brim"":1,""Support interface"":225,""Custom"":2,""Top surface"":104,""Skirt"":1,""Gap infill"":605,""Inner wall"":904,""Outer wall"":1695,""Internal Bridge"":14}",n/a,n/a,n/a,n/a,0,2026-09-23T01:17:01.676Z
base-classic-on-pnp-ordinary-m3,s2-base,classic-on,base,classic,on,pnp-ordinary,3,0,12,classic,classic,D:\slicerProject\pinch_n_print_cli_2\docs\specs\perf-vs-orca\evidence\matched-pair\configs\pnp-classic-supports-on.json,D:\slicerProject\pinch_n_print_cli_2\target\release\pnp_cli.exe,D:\slicerProject\pinch_n_print_cli_2\modules\core-modules,D:\slicerProject\pinch_n_print_cli_2\tmp\base.stl,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\gcode\base-classic-on-pnp-ordinary-m3.gcode,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\base-classic-on-pnp-ordinary-m3.stderr.jsonl,543.3696,2415.2188,4.4449,6025867264,41185993,43df6c684c6b082a4530370b7697df568efccae45b2ddf49e1d80c2451a6d004,"{""Support interface"":55,""Support"":280,""Sparse infill"":670,""Bridge"":51,""Bottom surface"":49,""Brim"":1,""Internal solid infill"":3,""Top surface"":58,""Skirt"":1,""Gap infill"":245,""Inner wall"":526,""Outer wall"":495,""Internal Bridge"":6}",ok,0,172181,true,0,2026-09-23T01:26:16.968Z
